"id","title","street","locality","postal_code","country","region_full"
"8783205","Systems Engineer (EU Real Time T&D SCADA)","None","WASHINGTON","20002","United States","District of Columbia"
"8614040","Sr. Business Analyst - PHI","701 9th Street. NW","WASHINGTON","20068","United States","District of Columbia"
"8794239","Sr Quantitative Analyst - PHI","5 Collins Drive","Carneys Point","08069","United States","New Jersey"
"8321007","Communications Manager","2 Center Plaza","BALTIMORE","21201","United States","Maryland"
"8794242","Sr Quantitative Analyst - PHI","None","Carneys Point","08069","United States","New Jersey"
"8807777","Arranger-Pepco Holdings OCC Planning","10611 Westlake Drive","Bethesda","20817","United States","Maryland"
"8826039","Customer Service Representative - Temporary","2 LINCOLN CTR","OAKBROOK TERRACE","60181","United States","Illinois"
"8625343","Software Engineer","1 LINCOLN CTR","OAKBROOK TERRACE","60181","United States","Illinois"
"8838409","Sr. Software Engineer - Outage Management System","500 N. Wakefield Drive","Newark","19714","United States","Delaware"
"9056155","Director Audit Services - BSC","10 S DEARBORN ST","CHICAGO","60603","United States","Illinois"
"9062146","Sr Project Const Manager","1 LINCOLN CTR","OAKBROOK TERRACE","60181","United States","Illinois"
"8345198","Assistant General Counsel - Privacy & Compliance","1001 Louisiana Street","HOUSTON","77002","United States","Texas"
"8882168","Change and Communications Management Consultant","3 LINCOLN CTR","OAKBROOK TERRACE","60181","United States","Illinois"
"8882169","Change and Communications Management Consultant","None","BALTIMORE","21201","United States","Maryland"
"8882170","Change and Communications Management Consultant","None","PHILADELPHIA","19124","United States","Pennsylvania"
"8884764","Sr Trans System Operator-ComEd","1N301 SWIFT RD # 472","LOMBARD","60148","United States","Illinois"
"8912495","Section Engineer - Delmarva Power GAS Reliability","630 Martin Luther King Bl","Wilmington","19899","United States","Delaware"
"8916602","General Engineer","5100 Harding Highway","Mays Landing","08330","United States","New Jersey"
"8918408","Business Analyst","101 CONSTITUTION AVE NW SUITE 400 EAST","WASHINGTON","20001","United States","District of Columbia"
"8435398","Supervisor Maintenance Planner","8401 POWER RD","CLINTON","61727","United States","Illinois"
"8449880","Sr Engineering Design Tech - Regional  Engineering","3500 N CALIFORNIA AVE","CHICAGO","60618","United States","Illinois"
"8766173","Sr Business Analyst","2301 MARKET ST","PHILADELPHIA","19103","United States","Pennsylvania"
"7962759","Sr. Services Analyst - IT","None","WASHINGTON","20002","United States","District of Columbia"
"8768342","Sr. Systems Engineer","1310 Point Street","BALTIMORE","21231","United States","Maryland"
"8190259","Sr. Quantitative Engineer - Pepco Holding","701 9th Street. NW","WASHINGTON","20068","United States","District of Columbia"
"8779528","Draftsperson C NERC","5100 Harding Highway","Mays Landing","08330","United States","New Jersey"
"8561100","Engineer - Sub SCADA and Cybersecurity","300 Chesterfield Parkway","MALVERN","19355","United States","Pennsylvania"
"8781881","Sr Tax Analyst - BSC","None","CHICAGO","60603","United States","Illinois"
"8590934","Senior Accountant - ComEd","3 LINCOLN CTR","OAKBROOK TERRACE","60181","United States","Illinois"
"8783201","Systems Engineer (EU Real Time T&D SCADA)","None","Carneys Point","08069","United States","New Jersey"
"7601262","Senior Project Manager - ADMS","None","PHILADELPHIA","19124","United States","Pennsylvania"
"8783204","Systems Engineer (EU Real Time T&D SCADA)","None","OAKBROOK TERRACE","60181","United States","Illinois"
"8783206","Systems Engineer (EU Real Time T&D SCADA)","None","PHILADELPHIA","19124","United States","Pennsylvania"
"8783523","Systems Engineer (EU Real Time T&D SCADA)","7309 WINDSOR MILL RD","BALTIMORE","21244","United States","Maryland"
"8619985","Staff Accountant - PHISCO","630 Martin Luther King Bl","Wilmington","19899","United States","Delaware"
"8794241","Sr Quantitative Analyst - PHI","701 9th Street. NW","WASHINGTON","20068","United States","District of Columbia"
"8619987","Staff Accountant - PHISCO","10 S Dearborn St","CHICAGO","60603","United States","Illinois"
"8826000","Billingual Cust Service Rep - Temporary","2 LINCOLN CTR","OAKBROOK TERRACE","60181","United States","Illinois"
"8339712","Sr Engineering Design Tech","1N423 SWIFT RD # 472","LOMBARD","60148","United States","Illinois"
"8833869","Linux Systems Administrator","10 S DEARBORN ST","CHICAGO","60603","United States","Illinois"
"8345196","Assistant General Counsel - Privacy & Compliance","4300 WINFIELD RD FL 5","WARRENVILLE","60555","United States","Illinois"
"8840224","Sr Communications Specialist","701 9th Street. NW","WASHINGTON","20068","United States","District of Columbia"
"8149615","Senior Project Manager","None","WASHINGTON","20002","United States","District of Columbia"
"8861258","Sr General Engineer","701 9th Street. NW","WASHINGTON","20068","United States","District of Columbia"
"8687934","Staff Accountant - PHISCO","630 Martin Luther King Bl","Wilmington","19899","United States","Delaware"
"8731687","Senior Financial Analyst - PHI","630 Martin Luther King Bl","Wilmington","19899","United States","Delaware"
"8731688","Senior Financial Analyst - PHI","701 9th Street. NW","WASHINGTON","20068","United States","District of Columbia"
"7914799","Sr Engineer","1030 W Swedesford Rd","BERWYN","19312","United States","Pennsylvania"
"8740955","Sr Business Analyst","2 Center Plaza","BALTIMORE","21201","United States","Maryland"
"7691617","ComEd New Grad Rotation Program (NGRP) Associate Engineer","1319 S 1ST AVE # 821","MAYWOOD","60153","United States","Illinois"
"8753587","General Engineer","None","BALTIMORE","21201","United States","Maryland"
"8918410","Business Analyst","5 Collins Drive","Carneys Point","08069","United States","New Jersey"
"8923283","Senior Financial Analyst - BGE","2 Center Plaza","BALTIMORE","21201","United States","Maryland"
"9080393","Manger IT - Network Operations","11520 CRONRIDGE DR","OWINGS MILLS","21117","United States","Maryland"
"9080394","Manger IT - Network Operations","None","CHICAGO","60603","United States","Illinois"
"9080395","Manger IT - Network Operations","None","HOUSTON","77010","United States","Texas"
"9082434","Prin Project Manager","2530 N Salisbury Boulevard","Salisbury","21801","United States","Maryland"
"9087682","Federal Tax Planning and Audit Manager - BSC","10 S DEARBORN ST","CHICAGO","60603","United States","Illinois"
"9088318","Prin Project Manager","401 Eagle Run Road,","Christiana","19702","United States","Delaware"
"9088498","Systems Engineer - REACTS IT","3 LINCOLN CTR","OAKBROOK TERRACE","60181","United States","Illinois"
"9088499","Sr. Systems Engineer - REACTS IT","3 LINCOLN CTR","OAKBROOK TERRACE","60181","United States","Illinois"
"9088500","Product Analyst - IT ","1310 Point Street","BALTIMORE","21231","United States","Maryland"
"9088501","Product Analyst - IT ","WFM","REDONDO BEACH","90277","United States","California"
"9088502","Product Analyst - IT ","5 Collins Drive","Carneys Point","08069","United States","New Jersey"
"9088626","Sr Systems Security Engineer - Real Time","None","BALTIMORE","21201","United States","Maryland"
"9088627","Sr Systems Security Engineer - Real Time","None","CHICAGO","60603","United States","Illinois"
"9088628","Sr Systems Security Engineer - Real Time","None","PHILADELPHIA","19124","United States","Pennsylvania"
"9088629","Sr Systems Security Engineer - Real Time","None","KENNETT SQUARE","19348","United States","Pennsylvania"
"9088630","Sr Systems Security Engineer - Real Time","None","Newark","19713","United States","Delaware"
"9088784","Sr Project Manager","1 LINCOLN CTR","OAKBROOK TERRACE","60181","United States","Illinois"
"9090849","Prin Project Manager","1 LINCOLN CTR","OAKBROOK TERRACE","60181","United States","Illinois"
"9091858","Engineering Design Tech","None","JOLIET","60433","United States","Illinois"
"9097192","Sr. Services Analyst - IT","3 LINCOLN CTR","OAKBROOK TERRACE","60181","United States","Illinois"
"9097317","Senior Accountant - BSC","630 Martin Luther King Bl","Wilmington","19899","United States","Delaware"
"9101398","Sr.Network Cloud Solution Analyst","1310 Point Street","BALTIMORE","21231","United States","Maryland"
"9103941","Principal Engineer - Exelon Transmission Reinforcement ","2301 MARKET ST","PHILADELPHIA","19103","United States","Pennsylvania"
"9103942","Principal Engineer - Exelon Transmission Reinforcement ","401 Eagle Run Road,","Christiana","19702","United States","Delaware"
"9106630","Systems Analyst","10 S DEARBORN ST","CHICAGO","60603","United States","Illinois"
"9118838","Scrum Master, IT","None","BALTIMORE","21201","United States","Maryland"
"9118839","Scrum Master, IT","None","PHILADELPHIA","19124","United States","Pennsylvania"
"9118840","Scrum Master, IT","None","WASHINGTON","20002","United States","District of Columbia"
"9118841","Scrum Master, IT","None","OAKBROOK TERRACE","60181","United States","Illinois"
"9118843","Scrum Master, IT","None","KENNETT SQUARE","19348","United States","Pennsylvania"
"9118844","Scrum Master, IT","None","Carneys Point","08069","United States","New Jersey"
"9068930","Software Engineer","None","Carneys Point","08069","United States","New Jersey"
"9068931","Software Engineer","None","Mays Landing","08330","United States","New Jersey"
"8754803","Sr. Architect","None","BALTIMORE","21201","United States","Maryland"
"9170456","Sr. Insider Risk Cyber Engineer","None","PHILADELPHIA","19124","United States","Pennsylvania"
"9170457","Sr. Insider Risk Cyber Engineer","None","None","20002","United States","District of Columbia"
"9170460","Sr. Insider Risk Cyber Engineer","None","KENNETT SQUARE","19348","United States","Pennsylvania"
"9170462","Sr. Insider Risk Cyber Engineer","None","Carneys Point","08069","United States","New Jersey"
"9170466","Sr. Insider Risk Cyber Engineer","None","Mays Landing","08330","United States","New Jersey"
"9171381","Sr Engineer","1068 N FRONT ST","BALTIMORE","21202","United States","Maryland"
"9171824","Sr. Software Engineer","410 S. Second St.","SPRINGFIELD","62706","United States","Illinois"
"9172928","Sr Data Scientist","7309 WINDSOR MILL RD","BALTIMORE","21244","United States","Maryland"
"9176306","Principal Transmission Development & Strategy - Exelon ","10 S DEARBORN ST","CHICAGO","60603","United States","Illinois"
"9176307","Principal Transmission Development & Strategy - Exelon ","None","OAKBROOK TERRACE","60181","United States","Illinois"
"9176308","Principal Transmission Development & Strategy - Exelon ","7309 WINDSOR MILL RD","BALTIMORE","21244","United States","Maryland"
"9176309","Principal Transmission Development & Strategy - Exelon ","2301 MARKET ST","PHILADELPHIA","19103","United States","Pennsylvania"
"9176310","Principal Transmission Development & Strategy - Exelon ","701 9th Street. NW","WASHINGTON","20068","United States","District of Columbia"
"9176311","Principal Transmission Development & Strategy - Exelon ","401 Eagle Run Road,","Christiana","19702","United States","Delaware"
"9177453","Prin Data Scientist","7309 WINDSOR MILL RD","BALTIMORE","21244","United States","Maryland"
"9181096","Sr Engineering Tech Specialist-University Park, IL","25000 GOVERNORS HWY","UNIVERSITY PARK","60484","United States","Illinois"
"9181850","Training Manager (Gas)","11350 PULASKI HWY","WHITE MARSH","21162","United States","Maryland"
"9185776","Stockkeeper SCD","2530 N Salisbury Boulevard","Salisbury","21801","United States","Maryland"
"9187279","Mgr Regional Elec Ops","700 E DuPont Highway","Millsboro","19966","United States","Delaware"
"9187280","Mgr Regional Elec Ops","2600 Centerville Road","Centreville","21617","United States","Maryland"
"9187281","Mgr Regional Elec Ops","None","Salisbury","21802","United States","Maryland"
"9187282","Business Analyst - Electric System Operations Support -ACE Region","5100 Harding Highway","Mays Landing","08330","United States","New Jersey"
"9196167","Sr Benefits Consultant ","10 S DEARBORN ST","CHICAGO","60603","United States","Illinois"
"9199649","Principal Project Manager - Pepco Atlantic City Electric ","5100 Harding Highway","Mays Landing","08330","United States","New Jersey"
